,strain_id,strain,type,Rating,effects,description,Flavors
174,174,bay 11,sativa,3.86,"happy, relaxed, uplifted, energetic, creative","bay 11, bred by grand daddy purp, is a potent sativa strain with unspecified genetics. its dense, pale buds are coated in amber resin with a sweet, fruity aroma that initiates immediate relaxation. a favorite strain for patients needing daytime relief, bay 11 eases pain while boosting appetite. bay 11 has a 67 day flowering period indoors, and outdoor gardens will be ready for harvest near the end of october.","sweet, earthy, citrus"
475,475,chem scout,indica,3.86,"relaxed, euphoric, focused, happy, creative","chem scout, bred by ic collective, is an indica-dominant strain that took 1st place in the 2014 high times cannabis cup in san fransisco. this cross between chemdawg 91 and girl scout cookies delivers a blast of cerebral euphoria that tapers into full-body relaxation with time. ","earthy, skunk, tea"
1971,1971,strawberry amnesia,sativa,3.86,"creative, relaxed, uplifted, euphoric, energetic","a powerful and uplifting flower from dinafem seeds, strawberry amnesia is a strain made in sativa heaven. bred from strawberry cough and amnesia, this strain delivers the familiar sweet strawberry and earthy flavors of its parents. having the typical energizing and euphoric effects of a sativa, strawberry amnesia also induces the calming body high from its distant indica relatives. the dark green buds of strawberry amnesia are very dense and heavily coated in resin, so this potent sativa should be handled with caution.  ","strawberry, sweet, earthy"
560,560,confidential cheese,indica,3.86,"sleepy, uplifted, relaxed, tingly, happy","confidential cheese by dna genetics is a crossbred hybrid of cheese and la confidential. this indica-dominant strain has pale green crystal-covered buds with a sour cheese aroma inherited from its parent. medical patients have used the potent and heavy effects of confidential cheese to treat severe pain, insomnia, and lost appetite. for growers, this strain finishes flowering in 8 to 9 weeks with moderate yields.","cheese, pine, woody"
1947,1947,special k,hybrid,3.86,"happy, uplifted, euphoric, relaxed, creative","special k is a hybrid cross between sativa western winds and indica slyder. the plant is tall with substantial girth, despite its lanky indica influence, with elongated buds. the effects are long-lasting with a quick onset, beginning with a physical buzz and evolving into a heady lift that borders on psychedelic. special k has been called adventureful, making it a wonderful daytime strain. indoor or outdoor grows can expect to flower at around 10 weeks.","sweet, citrus, earthy"
216,216,black betty,hybrid,3.86,"euphoric, relaxed, happy, uplifted, energetic","black betty is a long-lasting sativa-dominant hybrid that stems from east coast sour diesel and ak-47 genetics. with a rich but subtle aroma, black betty launches you into soaring euphoria that may be considered too lofty for the novice consumer. though certainly good for a lazy day, black betty is known to induce a forgetfulness so fierce that concentration and productivity can seem impossible for some. as a way of enhancing black betty’s flavor, others have bred in cherry ak-47 for its sweet cherry flavor profile. black betty offers growers notable yields following her 64-day flowering cycle, with dense buds that are easy to manicure.","sweet, berry, pungent"
1203,1203,la kush,hybrid,3.86,"relaxed, happy, creative, uplifted, euphoric","originating in los angeles, california, la kush is a hybrid with obscure genetic roots. not to be confused with og los angeles kush,  the general consensus is that la kush is a variety of og kush, and possibly a select phenotype of abusive og. in spite of the mystery, la kush presents itself as an earthy mix of pine and menthol flavors. its happy effects bring a smile to your face, lifting your mood and relaxing sore muscles. if you are looking to alleviate stress or need a spark of creativity, look to la kush. ","menthol, pungent, pine"
11,11,501st og,hybrid,3.86,"relaxed, euphoric, sleepy, happy, talkative","501st og, bred by rare dankness, is an indica-dominant hybrid that crosses skywalker og with rare dankness #1. the colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. the potent indica effects make 501st og a great nighttime strain to help with pain relief and trouble sleeping.","earthy, pine, skunk"
1806,1806,seattle blue,indica,3.86,"euphoric, relaxed, uplifted, happy, hungry",the seattle blue strain of cannabis provides a strong euphoric body high.  the sweet and fruity taste makes this a very pleasant indica.,"sweet, blueberry, pungent"
1226,1226,le silver royale,hybrid,3.86,"uplifted, talkative, euphoric, happy, energetic","le silver royal is grown solely by kleen karma gardens in oregon. this wondrous cross of green queen and super silver haze blends bright cerebral qualities with the hazy energy of its recessive green crack and super silver haze genetics. a 60/40 sativa-dominant hybrid, this stimulating strain is ideal for physical activity or rising above the cloud cover the pacific northwest is known for.     ","skunk, cheese, woody"
716,716,dutchberry,hybrid,3.86,"happy, uplifted, energetic, relaxed, creative","dutchberry is a 60/40 sativa-dominant hybrid strain from artizen cannabis in lacey, wa. combining dutch treat and dj short’s blueberry, this hybrid is loaded with citrus and berry flavors that taste as good as it smells. with a chemical profile that falls around 27% thc and 8% cbd, dutchberry has one of the highest cannabinoid contents available in the marketplace today. the high cbd content helps modify the extreme thc content to produce a happy, giggly high perfect for unwinding after a long day at work.","berry, sweet, orange"
214,214,black 84,indica,3.86,"relaxed, sleepy, happy, hungry, euphoric","black ’84, also known as uw black ’84, is one of a few elusive strains that managed to escape from the medical cannabis garden at the university of washington in the early and mid-1980s. believed to descend from afghani genetics, black ‘84’s unknown indica lineage expresses itself as a stout, dark, and bushy plant. the aroma is a complex mix of sweet tropical flavors that blend with a smooth nutty finish. its powerful, relaxing effects on the body make black ’84 a great nighttime strain when combatting anxiety, pain, and insomnia.","pungent, earthy, grape"
1350,1350,maui citrus punch,sativa,3.86,"relaxed, energetic, uplifted, creative, euphoric","maui citrus punch is an exquisitely fruity strain that combines the best of maui dawg and tangelo kush. these parent strains come together to create a cross that is pleasurable to nearly all the senses, exhibiting bright citrus notes with funky skunky undertones. the flavor holds on to the citrus and slight earthiness that slowly morphs into a high energy euphoria which settles in the body. consider enjoying maui citrus punch outdoors, as the aroma alone will draw attention. ","citrus, tropical, skunk"
213,213,birthday cake kush,hybrid,3.86,"relaxed, happy, euphoric, uplifted, sleepy","birthday cake kush, also known as wedding cake or just birthday cake, is an indica-dominant hybrid with strong body effects and sweet cake-like flavor. as decadent as its girl scout cookies and cherry pie parent strains, birthday cake kush buds bloom with a crystalline icing of thc-rich resin. like any dessert, birthday cake kush is the perfect way to end your day, with deeply relaxing effects that soothe the body without sedating the mind. this indica is preferred by patients treating pain, anxiety, appetite loss, inflammation, and headaches.","sweet, vanilla, lemon"
208,208,biker leblanc,hybrid,3.86,"relaxed, focused, energetic, euphoric, aroused","a sativa-dominant hybrid rarely found nowadays, biker le’blanc is a dense and resinous strain that combines raskal’s the white with hell’s angel og (biker kush cut). leading with a skunky, earthy aroma typical of og varieties, biker le’blanc offers heavily relaxing effects that weigh the body down without causing too much cloudiness in the head. its thc content is known to stretch to 23%, so proceed with caution if you’re sensitive to cannabis’ psychoactive effects.","spicy/herbal, sage, earthy"
